Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
4:13	najr		rc://*/ta/man/translate/figs-metaphor	וּ⁠פַרְסֹתַ֨יִ⁠ךְ֙ אָשִׂ֣ים נְחוּשָׁ֔ה	1	Yahweh continues to speak of Zion as if it were a powerful threshing ox whose **hooves** he would make of **bronze**. He means that he will make Zion strong enough to trample and crush her enemies. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [and I will make you strong enough to trample your enemies]
4:13	nfzg		rc://*/ta/man/translate/figs-explicit	וְ⁠הַחֲרַמְתִּ֤י לַֽ⁠יהוָה֙ בִּצְעָ֔⁠ם וְ⁠חֵילָ֖⁠ם	1	By **devote**, Yahweh means something that is irrevocably dedicated to him so that it cannot be taken back or used for any other purpose. You could indicate this explicitly in your translation if that would be helpful to your readers. Alternate translation: [and permanently dedicate to Yahweh their plunder and their wealth]
4:13	nsw8		rc://*/ta/man/translate/figs-123person	לַֽ⁠יהוָה֙	1	Yahweh is speaking of himself in the third person as **to Yahweh**. If it would be helpful in your language, you could translate this in the first person as in the UST.
4:13	x4kp		rc://*/ta/man/translate/figs-abstractnouns	בִּצְעָ֔⁠ם וְ⁠חֵילָ֖⁠ם	1	If your language does not use abstract nouns for the ideas of **plunder** and **wealth**, you could express the same ideas in another way. Alternate translation: [what they have seized and what they own]
4:13	dvix		rc://*/ta/man/translate/figs-ellipsis	וְ⁠חֵילָ֖⁠ם לַ⁠אֲד֥וֹן כָּל־הָ⁠אָֽרֶץ	1	Micah is leaving out some of the words that in many languages a sentence would need in order to be complete. You can supply these words from the context if that would be clearer in your language. Alternate translation: [and devote their wealth to the Lord of all of the earth]
5:intro	y1t7				0	# Micah 5 Chapter Introduction\n\n## Structure and Formatting\n\nYahweh promises a ruler who will shepherd and deliver his people.\n\n1. Yahweh raises up a ruler from Bethlehem (1–6)\n2. Yahweh preserves his people among the nations (7–9)\n3. Yahweh removes all sources of false security and idolatry (10–15)\n\n## Religious and Cultural Concepts in This Chapter\n\n### Messiah\n\nThis chapter contains a prophecy explaining that the Messiah was to be born in Bethlehem. This prophecy is fulfilled by Jesus’s birth and referenced in the New Testament in each of the gospel accounts of that event.\n\n## Translation Issues in This Chapter\n\n### Change in Personal Pronouns\n\nExtra care must be taken in translating pronouns in this chapter. Sometimes “I” is a reference to the author and other times it is a reference to Yahweh. There is also a noticeable shift where the author stops speaking about the people as “you” and begins speaking about them as “we” or “us.”
5:1	l094		rc://*/ta/man/translate/figs-idiom	בַּ⁠שֵּׁ֨בֶט֙ יַכּ֣וּ עַֽל־הַ⁠לְּחִ֔י	1	Micah is using **with the rod they strike on the cheek** as a common expression of the culture to mean “they insult and humiliate him.” If this phrase does not have that meaning for your readers, you could use a comparable expression from your language that does have that meaning, or you could state the meaning plainly. Alternate translation: [they utterly humiliate]
5:1	w8h0			בַת־גְּד֔וּד	1	Micah is speaking of the surviving remnant of the people of Jerusalem (whom he previously called “daughter Zion”) as if they were a **daughter troop**. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly as modeled in the UST.
5:1	cyh8		rc://*/ta/man/translate/writing-pronouns	מָצ֖וֹר שָׂ֣ם עָלֵ֑י⁠נוּ	1	The pronoun **He** refers to the enemy who is attacking Jerusalem. It may be helpful to clarify this for your readers. Alternate translation: [Our enemy has laid siege against us]
5:1	ofw3		rc://*/ta/man/translate/figs-exclusive	עָלֵ֑י⁠נוּ	1	By **us**, Micah means himself and the people of Jerusalem to whom he is speaking, so use the inclusive form of that word in your translation if your language marks that distinction.
5:2	u8jw		rc://*/ta/man/translate/translate-names	בֵּֽית־לֶ֣חֶם אֶפְרָ֗תָה	1	**Bethlehem Ephrathah** is the name of a town located in a region of Judah (see it referenced in [Matthew 2:6](../../mat/02/06.md)). **Ephrathah** distinguished it from another town called “Bethlehem” in the region of Zebulun. It is also called “the city of David” in [Luke 2:4](../../luk/02/04.md), since it was where David, king of Israel, was born.
5:2	nasp		rc://*/ta/man/translate/writing-pronouns	מִמְּ⁠ךָ֙ לִ֣⁠י יֵצֵ֔א	1	The pronoun **me** refers to Yahweh, who is speaking these words through Micah. It may be helpful to clarify this for your readers. Alternate translation: [from you will come out for Yahweh]
5:2	utqw		rc://*/ta/man/translate/figs-idiom	וּ⁠מוֹצָאֹתָ֥י⁠ו מִ⁠קֶּ֖דֶם	1	Micah is using **his goings out** as a common expression of the culture to mean “his origin.” If this phrase does not have that meaning for your readers, you could use a comparable expression from your language that does have that meaning, or you could state the meaning plainly. Alternate translation: [and his origin is from ancient times]
5:2	zard		rc://*/ta/man/translate/figs-abstractnouns	מִ⁠ימֵ֥י עוֹלָֽם	1	If your language does not use an abstract noun for the idea of **eternity**, you could express the same idea in another way. Alternate translation: [from the days before time began]
5:3	gjcf		rc://*/ta/man/translate/writing-pronouns	יִתְּנֵ֔⁠ם	1	The pronoun **he** refers to Yahweh, and the pronoun **them** refers to the people of Israel. It may be helpful to clarify this for your readers. Alternate translation: [Yahweh will give the people of Israel up]
5:3	nu1x			עַד־עֵ֥ת יוֹלֵדָ֖ה יָלָ֑דָה	1	This prophecy appears to have two fulfillments. The first fulfillment would be when God brings the people of Israel back to their land. In this case, **the bearing one** would refer to “daughter Zion” [4:10](../04/10.md), who stands for the faithful remnant of Israel. She **gives birth** to the restored nation of Israel. The second and greater fulfillment is when the mother of the Messiah gives birth to him who is able to create the new, fully restored people of God, bringing together the remnant of Israel and all of **his brothers** redeemed from the rest of mankind. If possible, translate this in a way that can apply to both fulfillments.
