Reference	ID	Tags	OrigWords	Occurrence	TWLink
10:2	i6fm	keyterm	יֶאְשָׁ֑מוּ	1	rc://*/tw/dict/bible/kt/guilt
10:2	at5q	keyterm	מִזְבְּחוֹתָ֔⁠ם	1	rc://*/tw/dict/bible/kt/altar
10:2	hpek		יְשֹׁדֵ֖ד	1	rc://*/tw/dict/bible/other/destroyer
10:2	bky8		מַצֵּבוֹתָֽ⁠ם	1	rc://*/tw/dict/bible/other/pillar
10:3	mu6p		מֶ֖לֶךְ	1	rc://*/tw/dict/bible/other/king
10:3	xva5	keyterm	יָרֵ֨אנוּ֙	1	rc://*/tw/dict/bible/kt/fear
10:3	yuxt	keyterm	אֶת־יְהֹוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
10:3	msf3		וְ⁠הַ⁠מֶּ֖לֶךְ	1	rc://*/tw/dict/bible/other/king
10:4	j7ag		אָל֥וֹת	1	rc://*/tw/dict/bible/other/oath
10:4	pbm7	keyterm	בְּרִ֑ית	1	rc://*/tw/dict/bible/kt/covenant
10:4	nt5p	keyterm	מִשְׁפָּ֔ט	1	rc://*/tw/dict/bible/kt/judge
10:5	t6am	name	שֹֽׁמְר֑וֹן	1	rc://*/tw/dict/bible/names/samaria
10:5	i3vc	keyterm	יָג֖וּרוּ	1	rc://*/tw/dict/bible/kt/fear
10:5	n2i2		לְ⁠עֶגְלוֹת֙	1	rc://*/tw/dict/bible/other/cow
10:5	diiv		בֵּ֣ית אָ֔וֶן	1	rc://*/tw/dict/bible/names/bethel
10:5	kgct		אָבַ֨ל	1	rc://*/tw/dict/bible/other/mourn
10:5	gpcb		וּ⁠כְמָרָי⁠ו֙	1	rc://*/tw/dict/bible/kt/falsegod
10:5	tfkx		וּ⁠כְמָרָי⁠ו֙	1	rc://*/tw/dict/bible/kt/priest
10:5	mp86	keyterm	כְּבוֹד֖⁠וֹ	1	rc://*/tw/dict/bible/kt/glory
10:6	wj8u	name	לְ⁠אַשּׁ֣וּר	1	rc://*/tw/dict/bible/names/assyria
10:6	kec9		מִנְחָ֖ה	1	rc://*/tw/dict/bible/other/tribute
